SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season_type,TEAM_ABBREVIATION,TEAM_ID
22004,951,20401215,"APR 19, 2005",SEA @ DAL,L,39,7,17,0.412,5,11,0.455,2,2,1.0,0,4,4,3,2,0,3,2,21,2,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401195,"APR 17, 2005",SEA @ MIN,W,41,15,26,0.577,4,11,0.364,0,3,0.0,1,9,10,2,1,0,1,4,34,9,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401184,"APR 15, 2005",SEA vs. NOK,W,39,12,19,0.632,4,9,0.444,4,4,1.0,0,0,0,7,2,0,1,3,32,21,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401168,"APR 13, 2005",SEA vs. DAL,L,39,7,20,0.35,2,6,0.333,3,4,0.75,3,3,6,3,0,0,1,3,19,0,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401153,"APR 11, 2005",SEA vs. HOU,L,41,7,22,0.318,1,9,0.111,3,3,1.0,0,5,5,3,1,0,0,1,18,-13,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401137,"APR 09, 2005",SEA @ DEN,L,40,10,20,0.5,5,10,0.5,7,9,0.778,0,2,2,5,3,0,1,6,32,-7,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401130,"APR 08, 2005",SEA vs. LAL,L,42,12,21,0.571,5,13,0.385,1,1,1.0,0,4,4,3,3,0,1,4,30,-20,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401104,"APR 05, 2005",SEA @ SAC,L,41,8,18,0.444,2,5,0.4,5,6,0.833,1,5,6,4,1,0,1,1,23,-20,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401091,"APR 03, 2005",SEA @ GSW,L,42,10,27,0.37,6,15,0.4,1,2,0.5,3,6,9,5,2,0,2,0,27,-12,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401078,"APR 01, 2005",SEA vs. POR,W,42,8,24,0.333,3,8,0.375,0,0,0.0,1,2,3,4,1,0,1,2,19,4,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401059,"MAR 30, 2005",SEA @ SAS,L,38,6,17,0.353,0,3,0.0,2,2,1.0,1,3,4,1,0,0,1,3,14,-17,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401050,"MAR 29, 2005",SEA @ MEM,W,38,8,20,0.4,5,7,0.714,1,1,1.0,4,2,6,2,0,0,4,4,22,10,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401036,"MAR 27, 2005",SEA vs. WAS,L,43,7,20,0.35,2,5,0.4,11,12,0.917,1,7,8,2,2,0,3,2,27,12,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401021,"MAR 25, 2005",SEA vs. NYK,W,47,13,23,0.565,6,11,0.545,8,8,1.0,0,9,9,2,0,1,2,2,40,7,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20401012,"MAR 24, 2005",SEA @ POR,W,39,7,19,0.368,3,10,0.3,2,3,0.667,1,7,8,1,1,0,1,1,19,7,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400984,"MAR 20, 2005",SEA @ LAL,W,10,2,8,0.25,1,3,0.333,1,1,1.0,0,1,1,3,0,0,0,0,6,5,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400969,"MAR 18, 2005",SEA vs. ORL,W,42,12,21,0.571,2,7,0.286,12,12,1.0,1,6,7,4,1,0,2,1,38,11,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400947,"MAR 16, 2005",SEA @ DET,L,28,6,11,0.545,3,5,0.6,5,6,0.833,1,5,6,3,0,0,2,4,20,-22,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400940,"MAR 15, 2005",SEA @ CHI,W,39,5,18,0.278,1,4,0.25,6,6,1.0,1,0,1,7,0,0,1,2,17,5,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400925,"MAR 13, 2005",SEA @ NYK,W,39,7,20,0.35,2,8,0.25,3,3,1.0,0,1,1,1,0,0,0,1,19,8,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400913,"MAR 11, 2005",SEA vs. CHI,L,40,4,16,0.25,2,6,0.333,7,9,0.778,0,4,4,1,1,0,5,3,17,-8,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400894,"MAR 08, 2005",SEA vs. HOU,L,42,13,25,0.52,5,8,0.625,1,2,0.5,3,4,7,4,1,0,3,1,32,-3,0,951,Ray Allen,Regular Season,SEA,1610612760.0
22004,951,20400879,"MAR 06, 2005",SEA vs. PHO,L,39,10,22,0.455,2,8,0.25,5,5,1.0,3,3,6,2,0,0,1,0,27,-7,0,951,Ray Allen,Regular Season,SEA,1610612760.0
