PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,player_id,player_name,season
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,All-Rookie Team,1,1996-97,,,1610612763,Award,Kia Motors,KIART,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,Atlanta Hawks,NBA Player of the Week,,2001-02,,2001-11-25T00:00:00,East,Award,Kia Motors,KIPWK,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Rookie of the Month,,1996-97,02/01/1997,,,Award,Kia Motors,KIRMO,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Rookie of the Month,,1996-97,12/01/1996,,,Award,Kia Motors,KIRMO,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Sporting News Rookie of the Year,,1996-97,,,,Award,Sporting News,SNROY,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,,949,Shareef Abdur-Rahim,2001-02
949,Shareef,Abdur-Rahim,,NBA All-Star,,2001-02,,,,Award,All-Star,,,949,Shareef Abdur-Rahim,2001-02
2042,Courtney,Alexander,Washington Wizards,All-Rookie Team,2,2000-01,,,1610612764,Award,Kia Motors,KIART,,2042,Courtney Alexander,2001-02
2042,Courtney,Alexander,Washington Wizards,NBA Rookie of the Month,,2000-01,04/01/2001,,,Award,Kia Motors,KIRMO,,2042,Courtney Alexander,2001-02
951,Ray,Allen,Milwaukee Bucks,All-NBA,3,2000-01,,,1610612749,Award,Kia Motors,KIANT,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,All-NBA,2,2004-05,,,1610612760,Award,Kia Motors,KIANT,,951,Ray Allen,2001-02
951,Ray,Allen,Milwaukee Bucks,All-Rookie Team,2,1996-97,,,1610612749,Award,Kia Motors,KIART,,951,Ray Allen,2001-02
951,Ray,Allen,,Hall of Fame Inductee,,2018,,,,Award,Hall of Fame,,,951,Ray Allen,2001-02
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2000-01,,2001-04-15T00:00:00,,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2001-02,,2001-11-04T00:00:00,East,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2001-02,,2002-01-13T00:00:00,East,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2002-03,,2003-03-02T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2003-04,,2004-01-11T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2004-05,,2004-11-14T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2004-05,,2005-03-27T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2001-02
951,Ray,Allen,Seattle SuperSonics,NBA Sportsmanship,,2002-03,,,,Award,Kia Motors,KSPRT,,951,Ray Allen,2001-02
951,Ray,Allen,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,1999-00,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2000-01,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2001-02,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2007-08,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2008-09,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2010-11,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2003-04,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2004-05,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2005-06,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,,NBA All-Star,,2006-07,,,,Award,All-Star,,,951,Ray Allen,2001-02
951,Ray,Allen,Boston Celtics,NBA Champion,,2007-08,,,,Award,Champion,,,951,Ray Allen,2001-02
951,Ray,Allen,Miami Heat,NBA Champion,,2012-13,,,,Award,Champion,,,951,Ray Allen,2001-02
2365,Chris,Andersen,Miami Heat,NBA Champion,,2012-13,,,,Award,Champion,,,2365,Chris Andersen,2001-02
1507,Derek,Anderson,Cleveland Cavaliers,All-Rookie Team,2,1997-98,,,1610612739,Award,Kia Motors,KIART,,1507,Derek Anderson,2001-02
1507,Derek,Anderson,San Antonio Spurs,NBA Player of the Week,,2000-01,,2001-03-11T00:00:00,,Award,Kia Motors,KIPWK,,1507,Derek Anderson,2001-02
1507,Derek,Anderson,Miami Heat,NBA Champion,,2005-06,,,,Award,Champion,,,1507,Derek Anderson,2001-02
72,Kenny,Anderson,New Jersey Nets,NBA Player of the Week,,1993-94,,1994-01-23T00:00:00,,Award,Kia Motors,KIPWK,,72,Kenny Anderson,2001-02
72,Kenny,Anderson,,NBA All-Star,,1993-94,,,,Award,All-Star,,,72,Kenny Anderson,2001-02
1000,Shandon,Anderson,Miami Heat,NBA Champion,,2005-06,,,,Award,Champion,,,1000,Shandon Anderson,2001-02
2240,Gilbert,Arenas,Washington Wizards,All-NBA,3,2004-05,,,1610612764,Award,Kia Motors,KIANT,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,All-NBA,3,2005-06,,,1610612764,Award,Kia Motors,KIANT,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,All-NBA,2,2006-07,,,1610612764,Award,Kia Motors,KIANT,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Most Improved Player,,2002-03,,,,Award,Kia Motors,KIMIP,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Month,,2006-07,12/01/2006,,East,Award,Kia Motors,KIPMO,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2004-05,,2004-12-05T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2005-06,,2005-11-14T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2005-06,,2006-02-13T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2005-06,,2006-02-27T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2006-07,,2006-12-10T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2006-07,,2006-12-17T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Player of the Week,,2006-07,,2007-01-07T00:00:00,East,Award,Kia Motors,KIPWK,,2240,Gilbert Arenas,2001-02
2240,Gilbert,Arenas,Washington Wizards,NBA Rookie of the Month,,2001-02,04/01/2002,,East,Award,Kia Motors,KIRMO,,2240,Gilbert Arenas,2001-02
