SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season_type
42001,2349,0040100111,"APR 21, 2002",DET vs. TOR,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3,0,2349,Victor Alexander,Playoffs
42001,1507,0040100163,"APR 28, 2002",POR vs. LAL,L,27,3,12,0.25,1,2,0.5,5,6,0.833,2,1,3,3,1,0,2,1,12,-4,0,1507,Derek Anderson,Playoffs
42001,1507,0040100162,"APR 25, 2002",POR @ LAL,L,25,2,4,0.5,0,1,0.0,6,6,1.0,1,1,2,3,1,0,2,0,10,-13,0,1507,Derek Anderson,Playoffs
42001,1507,0040100161,"APR 21, 2002",POR @ LAL,L,24,8,14,0.571,1,3,0.333,5,6,0.833,0,2,2,1,0,0,2,0,22,4,0,1507,Derek Anderson,Playoffs
42001,353,0040100134,"APR 30, 2002",ORL vs. CHH,L,40,4,11,0.364,0,3,0.0,3,4,0.75,1,4,5,1,3,0,3,4,11,-16,0,353,Darrell Armstrong,Playoffs
42001,353,0040100133,"APR 27, 2002",ORL vs. CHH,L,45,6,13,0.462,2,9,0.222,7,8,0.875,2,1,3,8,0,0,1,5,21,10,0,353,Darrell Armstrong,Playoffs
42001,353,0040100132,"APR 23, 2002",ORL @ CHH,W,36,4,8,0.5,2,4,0.5,3,4,0.75,0,3,3,2,0,0,1,4,13,-1,0,353,Darrell Armstrong,Playoffs
42001,353,0040100131,"APR 20, 2002",ORL @ CHH,L,37,6,10,0.6,0,1,0.0,4,5,0.8,0,0,0,2,2,0,2,1,16,-4,0,353,Darrell Armstrong,Playoffs
42001,278,0040100205,"MAY 15, 2002",CHH @ NJN,L,19,3,7,0.429,0,0,0.0,1,2,0.5,1,1,2,1,0,0,0,4,7,-7,0,278,Stacey Augmon,Playoffs
42001,278,0040100204,"MAY 12, 2002",CHH vs. NJN,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,0,0,1,0,278,Stacey Augmon,Playoffs
42001,278,0040100203,"MAY 09, 2002",CHH vs. NJN,W,5,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-6,0,278,Stacey Augmon,Playoffs
