SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season
42000,1541,0040000068,"MAY 20, 2001",TOR @ PHI,L,36,4,11,0.364,0,2,0.0,0,0,0.0,1,1,2,3,0,3,1,2,8,-5,0,1541,Alvin Williams,2000-01
42000,1541,0040000067,"MAY 18, 2001",TOR vs. PHI,W,36,7,12,0.583,1,2,0.5,0,0,0.0,0,2,2,3,1,1,0,2,15,10,0,1541,Alvin Williams,2000-01
42000,1541,0040000066,"MAY 16, 2001",TOR @ PHI,L,30,2,5,0.4,0,1,0.0,3,7,0.429,0,2,2,4,0,0,0,3,7,-19,0,1541,Alvin Williams,2000-01
42000,1541,0040000065,"MAY 13, 2001",TOR vs. PHI,L,44,7,18,0.389,0,4,0.0,0,0,0.0,1,2,3,2,0,1,1,2,14,-1,0,1541,Alvin Williams,2000-01
42000,1541,0040000064,"MAY 11, 2001",TOR vs. PHI,W,39,2,11,0.182,0,0,0.0,0,0,0.0,1,1,2,6,1,0,1,3,4,20,0,1541,Alvin Williams,2000-01
42000,1541,0040000063,"MAY 09, 2001",TOR @ PHI,L,43,6,17,0.353,2,5,0.4,1,2,0.5,1,4,5,8,1,1,2,2,15,-1,0,1541,Alvin Williams,2000-01
42000,1541,0040000062,"MAY 06, 2001",TOR @ PHI,W,41,6,9,0.667,1,2,0.5,2,2,1.0,1,3,4,4,3,0,5,4,15,1,0,1541,Alvin Williams,2000-01
42000,1541,0040000040,"MAY 04, 2001",TOR @ NYK,W,45,5,13,0.385,1,1,1.0,7,7,1.0,0,2,2,4,3,0,0,3,18,10,0,1541,Alvin Williams,2000-01
42000,1541,0040000032,"MAY 02, 2001",TOR vs. NYK,W,42,7,16,0.438,1,3,0.333,3,4,0.75,0,3,3,3,1,0,3,5,18,6,0,1541,Alvin Williams,2000-01
42000,1541,0040000024,"APR 29, 2001",TOR vs. NYK,L,45,4,11,0.364,1,1,1.0,0,0,0.0,0,3,3,3,1,1,1,3,9,-10,0,1541,Alvin Williams,2000-01
42000,1541,0040000016,"APR 26, 2001",TOR @ NYK,W,44,10,18,0.556,3,5,0.6,0,1,0.0,0,4,4,2,1,1,2,1,23,26,0,1541,Alvin Williams,2000-01
42000,1541,0040000008,"APR 22, 2001",TOR @ NYK,L,41,9,19,0.474,0,2,0.0,1,2,0.5,1,2,3,8,3,0,0,4,19,-6,0,1541,Alvin Williams,2000-01
42000,1715,0040000051,"MAY 13, 2001",SAC vs. LAL,L,19,1,5,0.2,1,5,0.2,0,0,0.0,0,1,1,3,1,0,3,0,3,-5,0,1715,Jason Williams,2000-01
42000,1715,0040000050,"MAY 11, 2001",SAC vs. LAL,L,21,1,6,0.167,0,2,0.0,0,0,0.0,0,4,4,4,1,0,4,0,2,-3,0,1715,Jason Williams,2000-01
42000,1715,0040000049,"MAY 08, 2001",SAC @ LAL,L,15,0,5,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,-18,0,1715,Jason Williams,2000-01
42000,1715,0040000043,"MAY 06, 2001",SAC @ LAL,L,36,5,8,0.625,2,3,0.667,2,2,1.0,0,2,2,4,2,0,6,2,14,-8,0,1715,Jason Williams,2000-01
42000,1715,0040000030,"MAY 02, 2001",SAC @ PHX,W,19,3,8,0.375,1,4,0.25,0,0,0.0,0,3,3,2,0,0,3,4,7,-3,0,1715,Jason Williams,2000-01
42000,1715,0040000023,"APR 29, 2001",SAC @ PHX,W,29,5,9,0.556,3,4,0.75,1,1,1.0,0,3,3,2,1,0,1,3,14,7,0,1715,Jason Williams,2000-01
42000,1715,0040000014,"APR 25, 2001",SAC vs. PHX,W,24,7,11,0.636,2,4,0.5,2,2,1.0,0,2,2,3,1,0,1,2,18,12,0,1715,Jason Williams,2000-01
42000,1715,0040000007,"APR 22, 2001",SAC vs. PHX,L,28,4,9,0.444,2,6,0.333,0,0,0.0,0,3,3,5,2,0,3,2,10,-1,0,1715,Jason Williams,2000-01
42000,966,0040000068,"MAY 20, 2001",TOR @ PHI,L,16,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,3,1,-4,0,966,Jerome Williams,2000-01
42000,966,0040000067,"MAY 18, 2001",TOR vs. PHI,W,18,0,2,0.0,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,1,2,21,0,966,Jerome Williams,2000-01
42000,966,0040000066,"MAY 16, 2001",TOR @ PHI,L,18,5,7,0.714,0,0,0.0,0,0,0.0,2,3,5,1,1,0,0,1,10,-6,0,966,Jerome Williams,2000-01
42000,966,0040000065,"MAY 13, 2001",TOR vs. PHI,L,8,0,1,0.0,0,0,0.0,0,0,0.0,4,3,7,1,0,1,0,2,0,-4,0,966,Jerome Williams,2000-01
42000,966,0040000064,"MAY 11, 2001",TOR vs. PHI,W,16,1,1,1.0,0,0,0.0,1,3,0.333,1,3,4,3,2,1,0,1,3,16,0,966,Jerome Williams,2000-01
