SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season,TEAM_ABBREVIATION,TEAM_ID
22000,1507,20000652,"JAN 31, 2001",SAS vs. LAC,W,29,4,7,0.571,1,3,0.333,4,4,1.0,1,3,4,5,0,0,2,1,13,21,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000636,"JAN 29, 2001",SAS @ LAC,W,28,3,12,0.25,1,3,0.333,2,2,1.0,3,5,8,7,0,0,1,2,9,28,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000626,"JAN 27, 2001",SAS @ UTA,W,42,6,11,0.545,2,4,0.5,8,8,1.0,0,5,5,4,1,0,2,2,22,20,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000611,"JAN 25, 2001",SAS @ SAC,W,41,8,14,0.571,1,1,1.0,3,5,0.6,0,6,6,5,0,0,2,3,20,6,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000595,"JAN 23, 2001",SAS vs. VAN,W,26,3,5,0.6,1,2,0.5,0,0,0.0,0,2,2,1,1,0,2,2,7,25,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000576,"JAN 20, 2001",SAS vs. ORL,L,39,1,8,0.125,1,1,1.0,1,2,0.5,0,3,3,5,1,0,2,5,4,-7,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000554,"JAN 17, 2001",SAS vs. TOR,L,47,7,12,0.583,1,3,0.333,5,5,1.0,4,6,10,4,1,0,3,2,20,-12,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000535,"JAN 15, 2001",SAS @ NYK,L,36,5,15,0.333,1,5,0.2,2,2,1.0,0,2,2,4,2,0,2,3,13,-22,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000522,"JAN 13, 2001",SAS @ PHI,L,43,9,16,0.563,2,4,0.5,3,3,1.0,2,4,6,5,2,0,1,2,23,-11,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000515,"JAN 12, 2001",SAS @ DET,W,28,7,11,0.636,2,2,1.0,9,9,1.0,0,2,2,1,4,0,2,4,25,21,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000493,"JAN 09, 2001",SAS @ ORL,W,42,8,14,0.571,1,3,0.333,7,8,0.875,2,4,6,7,1,0,2,3,24,11,0,1507,Derek Anderson,2000-01,SAS,1610612759
