SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season_type
42003,2124,0040300206,"MAY 18, 2004",MIA vs. IND,L,12,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,2,2,-5,0,2124,Malik Allen,Playoffs
42003,2124,0040300205,"MAY 15, 2004",MIA @ IND,L,20,6,9,0.667,0,0,0.0,0,0,0.0,1,4,5,0,0,1,1,4,12,6,0,2124,Malik Allen,Playoffs
42003,2124,0040300204,"MAY 12, 2004",MIA vs. IND,W,24,2,8,0.25,0,0,0.0,1,2,0.5,3,2,5,1,2,2,2,4,5,13,0,2124,Malik Allen,Playoffs
42003,2124,0040300203,"MAY 10, 2004",MIA vs. IND,W,29,6,9,0.667,0,0,0.0,1,2,0.5,0,4,4,1,0,2,0,3,13,1,0,2124,Malik Allen,Playoffs
42003,2124,0040300202,"MAY 08, 2004",MIA @ IND,L,23,3,8,0.375,0,0,0.0,2,2,1.0,0,3,3,0,0,2,0,4,8,1,0,2124,Malik Allen,Playoffs
42003,2124,0040300201,"MAY 06, 2004",MIA @ IND,L,21,2,7,0.286,0,0,0.0,1,1,1.0,5,3,8,1,0,0,0,3,5,6,0,2124,Malik Allen,Playoffs
42003,2124,0040300137,"MAY 04, 2004",MIA vs. NOH,W,3,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,-2,0,2124,Malik Allen,Playoffs
42003,2124,0040300133,"APR 24, 2004",MIA @ NOH,L,3,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,1,1,0,2,-4,0,2124,Malik Allen,Playoffs
42003,2124,0040300132,"APR 21, 2004",MIA vs. NOH,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2,0,2124,Malik Allen,Playoffs
42003,2124,0040300131,"APR 18, 2004",MIA vs. NOH,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2124,Malik Allen,Playoffs
42003,1747,0040300206,"MAY 18, 2004",MIA vs. IND,L,19,0,6,0.0,0,4,0.0,0,0,0.0,1,3,4,0,0,0,0,1,0,-1,0,1747,Rafer Alston,Playoffs
42003,1747,0040300205,"MAY 15, 2004",MIA @ IND,L,14,0,3,0.0,0,2,0.0,1,1,1.0,0,0,0,3,1,0,2,2,1,-3,0,1747,Rafer Alston,Playoffs
42003,1747,0040300204,"MAY 12, 2004",MIA vs. IND,W,16,4,7,0.571,3,5,0.6,0,0,0.0,0,2,2,0,0,0,0,3,11,7,0,1747,Rafer Alston,Playoffs
42003,1747,0040300203,"MAY 10, 2004",MIA vs. IND,W,15,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,1,2,5,9,0,1747,Rafer Alston,Playoffs
