PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,player_id,player_name,season
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,All-Rookie Team,1,1996-97,,,1610612763,Award,Kia Motors,KIART,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,Atlanta Hawks,NBA Player of the Week,,2001-02,,2001-11-25T00:00:00,East,Award,Kia Motors,KIPWK,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Rookie of the Month,,1996-97,02/01/1997,,,Award,Kia Motors,KIRMO,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Rookie of the Month,,1996-97,12/01/1996,,,Award,Kia Motors,KIRMO,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,Vancouver Grizzlies,NBA Sporting News Rookie of the Year,,1996-97,,,,Award,Sporting News,SNROY,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,,949,Shareef Abdur-Rahim,2005-06
949,Shareef,Abdur-Rahim,,NBA All-Star,,2001-02,,,,Award,All-Star,,,949,Shareef Abdur-Rahim,2005-06
951,Ray,Allen,Milwaukee Bucks,All-NBA,3,2000-01,,,1610612749,Award,Kia Motors,KIANT,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,All-NBA,2,2004-05,,,1610612760,Award,Kia Motors,KIANT,,951,Ray Allen,2005-06
951,Ray,Allen,Milwaukee Bucks,All-Rookie Team,2,1996-97,,,1610612749,Award,Kia Motors,KIART,,951,Ray Allen,2005-06
951,Ray,Allen,,Hall of Fame Inductee,,2018,,,,Award,Hall of Fame,,,951,Ray Allen,2005-06
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2000-01,,2001-04-15T00:00:00,,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2001-02,,2001-11-04T00:00:00,East,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Milwaukee Bucks,NBA Player of the Week,,2001-02,,2002-01-13T00:00:00,East,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2002-03,,2003-03-02T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2003-04,,2004-01-11T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2004-05,,2004-11-14T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,NBA Player of the Week,,2004-05,,2005-03-27T00:00:00,West,Award,Kia Motors,KIPWK,,951,Ray Allen,2005-06
951,Ray,Allen,Seattle SuperSonics,NBA Sportsmanship,,2002-03,,,,Award,Kia Motors,KSPRT,,951,Ray Allen,2005-06
951,Ray,Allen,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,1999-00,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2000-01,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2001-02,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2007-08,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2008-09,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2010-11,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2003-04,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2004-05,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2005-06,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,,NBA All-Star,,2006-07,,,,Award,All-Star,,,951,Ray Allen,2005-06
951,Ray,Allen,Boston Celtics,NBA Champion,,2007-08,,,,Award,Champion,,,951,Ray Allen,2005-06
951,Ray,Allen,Miami Heat,NBA Champion,,2012-13,,,,Award,Champion,,,951,Ray Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,2,2010-11,,,1610612763,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,1,2011-12,,,1610612763,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,1,2012-13,,,1610612763,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,1,2014-15,,,1610612763,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,2,2015-16,,,West,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Memphis Grizzlies,All-Defensive Team,2,2016-17,,,West,Award,Kia Motors,KIADT,,2754,Tony Allen,2005-06
2754,Tony,Allen,Boston Celtics,NBA Champion,,2007-08,,,,Award,Champion,,,2754,Tony Allen,2005-06
1507,Derek,Anderson,Cleveland Cavaliers,All-Rookie Team,2,1997-98,,,1610612739,Award,Kia Motors,KIART,,1507,Derek Anderson,2005-06
1507,Derek,Anderson,San Antonio Spurs,NBA Player of the Week,,2000-01,,2001-03-11T00:00:00,,Award,Kia Motors,KIPWK,,1507,Derek Anderson,2005-06
1507,Derek,Anderson,Miami Heat,NBA Champion,,2005-06,,,,Award,Champion,,,1507,Derek Anderson,2005-06
1000,Shandon,Anderson,Miami Heat,NBA Champion,,2005-06,,,,Award,Champion,,,1000,Shandon Anderson,2005-06
2546,Carmelo,Anthony,Denver Nuggets,All-NBA,3,2005-06,,,1610612743,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,All-NBA,3,2006-07,,,1610612743,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,All-NBA,3,2008-09,,,1610612743,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,All-NBA,2,2009-10,,,1610612743,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,New York Knicks,All-NBA,3,2011-12,,,1610612752,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,New York Knicks,All-NBA,2,2012-13,,,1610612752,Award,Kia Motors,KIANT,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,All-Rookie Team,1,2003-04,,,1610612743,Award,Kia Motors,KIART,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Month,,2005-06,03/01/2006,,West,Award,Kia Motors,KIPMO,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Month,,2009-10,11/01/2009,,West,Award,Kia Motors,KIPMO,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,New York Knicks,NBA Player of the Month,,2011-12,04/01/2012,,East,Award,Kia Motors,KIPMO,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,New York Knicks,NBA Player of the Month,,2012-13,04/01/2013,,East,Award,Kia Motors,KIPMO,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,New York Knicks,NBA Player of the Month,,2013-14,1/1/2014,,East,Award,Kia Motors,KIPMO,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2003-04,,2004-03-14T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2003-04,,2004-04-12T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2005-06,,2006-03-19T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2006-07,,2006-11-26T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2006-07,,2006-12-03T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2006-07,,2007-02-11T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
2546,Carmelo,Anthony,Denver Nuggets,NBA Player of the Week,,2007-08,,2007-12-23T00:00:00,West,Award,Kia Motors,KIPWK,,2546,Carmelo Anthony,2005-06
