SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season_type,TEAM_ABBREVIATION,TEAM_ID
22005,2546,20501209,"APR 17, 2006",DEN vs. HOU,L,28,9,15,0.6,0,0,0.0,4,5,0.8,1,5,6,3,2,1,1,1,22,8,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501192,"APR 15, 2006",DEN vs. SAC,L,29,5,13,0.385,0,0,0.0,5,5,1.0,1,1,2,2,1,1,2,1,15,-14,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501171,"APR 12, 2006",DEN @ UTA,L,32,7,19,0.368,0,0,0.0,4,5,0.8,1,4,5,5,1,0,3,2,18,-7,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501154,"APR 10, 2006",DEN @ POR,W,36,9,16,0.563,0,0,0.0,10,11,0.909,0,3,3,6,0,0,2,2,28,17,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501137,"APR 08, 2006",DEN vs. GSW,W,36,9,16,0.563,0,0,0.0,10,14,0.714,2,1,3,2,0,0,1,4,28,-6,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501120,"APR 06, 2006",DEN vs. LAL,W,44,12,30,0.4,1,5,0.2,8,10,0.8,0,4,4,5,1,2,1,3,33,15,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501107,"APR 04, 2006",DEN @ LAC,L,36,8,17,0.471,1,4,0.25,7,7,1.0,1,3,4,5,1,0,3,1,24,3,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501087,"APR 02, 2006",DEN @ DAL,L,38,9,24,0.375,2,7,0.286,5,6,0.833,1,2,3,0,0,1,4,5,25,-25,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501075,"MAR 31, 2006",DEN vs. MIN,W,39,9,22,0.409,1,2,0.5,13,14,0.929,1,4,5,1,2,0,1,2,32,11,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501062,"MAR 29, 2006",DEN vs. UTA,L,38,14,25,0.56,1,4,0.25,2,3,0.667,1,3,4,3,1,0,1,6,31,-9,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501030,"MAR 25, 2006",DEN @ PHX,L,39,11,19,0.579,2,2,1.0,4,4,1.0,0,2,2,1,1,1,3,3,28,-2,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501024,"MAR 24, 2006",DEN vs. SEA,W,37,9,26,0.346,0,0,0.0,13,15,0.867,3,2,5,1,0,0,2,3,31,14,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20501008,"MAR 22, 2006",DEN vs. SAS,W,38,13,23,0.565,0,0,0.0,6,6,1.0,1,2,3,3,0,0,4,3,32,-1,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500976,"MAR 18, 2006",DEN @ NOK,W,26,11,19,0.579,1,3,0.333,5,6,0.833,1,2,3,7,0,1,1,0,28,22,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500971,"MAR 17, 2006",DEN @ MEM,L,41,16,25,0.64,0,3,0.0,1,1,1.0,0,2,2,2,2,1,3,0,33,-12,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500953,"MAR 15, 2006",DEN @ IND,W,38,12,25,0.48,0,0,0.0,7,8,0.875,0,0,0,1,0,0,2,3,31,-2,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500937,"MAR 13, 2006",DEN @ NYK,W,36,13,21,0.619,0,0,0.0,9,12,0.75,4,1,5,1,0,0,1,0,35,10,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500926,"MAR 12, 2006",DEN @ BOS,L,38,14,21,0.667,0,3,0.0,8,8,1.0,0,5,5,3,1,0,1,2,36,-1,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500910,"MAR 10, 2006",DEN @ TOR,W,21,7,9,0.778,0,0,0.0,0,0,0.0,0,6,6,1,0,0,0,0,14,0,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500907,"MAR 09, 2006",DEN @ PHI,W,42,11,20,0.55,0,2,0.0,7,10,0.7,2,8,10,2,1,0,3,3,29,4,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500886,"MAR 06, 2006",DEN vs. MEM,W,34,15,22,0.682,0,1,0.0,5,6,0.833,1,4,5,2,2,3,4,4,35,16,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500872,"MAR 04, 2006",DEN vs. ORL,W,35,11,18,0.611,0,1,0.0,2,2,1.0,0,1,1,4,1,0,5,2,24,7,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500861,"MAR 03, 2006",DEN @ HOU,L,38,12,23,0.522,3,6,0.5,7,7,1.0,1,3,4,0,4,0,2,2,34,-4,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500849,"MAR 01, 2006",DEN vs. DET,W,38,11,26,0.423,0,4,0.0,3,3,1.0,2,5,7,6,0,0,1,1,25,15,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500835,"FEB 27, 2006",DEN vs. MIL,L,35,6,12,0.5,0,1,0.0,7,7,1.0,1,3,4,0,0,0,2,4,19,-12,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500808,"FEB 24, 2006",DEN @ MIN,W,46,11,24,0.458,4,7,0.571,4,6,0.667,2,6,8,3,0,0,4,2,30,6,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500787,"FEB 21, 2006",DEN vs. CHA,W,39,10,20,0.5,0,3,0.0,4,6,0.667,2,2,4,3,0,0,5,2,24,15,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500774,"FEB 15, 2006",DEN vs. PHX,L,35,13,24,0.542,0,2,0.0,3,5,0.6,1,3,4,3,2,0,3,3,29,-20,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500750,"FEB 12, 2006",DEN @ SEA,W,43,9,21,0.429,0,0,0.0,15,17,0.882,1,8,9,2,3,1,4,4,33,5,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500734,"FEB 10, 2006",DEN vs. DAL,W,39,7,16,0.438,0,1,0.0,10,14,0.714,0,1,1,10,1,1,4,3,24,10,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500722,"FEB 08, 2006",DEN vs. CHI,L,38,10,23,0.435,0,1,0.0,11,13,0.846,1,6,7,2,1,1,3,4,31,-2,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500705,"FEB 06, 2006",DEN @ GSW,L,37,12,23,0.522,1,4,0.25,9,10,0.9,3,3,6,2,1,0,5,4,34,-8,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500692,"FEB 04, 2006",DEN vs. POR,W,40,9,22,0.409,0,0,0.0,15,18,0.833,3,2,5,8,0,1,1,1,33,8,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500671,"FEB 01, 2006",DEN @ UTA,L,33,8,22,0.364,0,1,0.0,4,6,0.667,0,2,2,0,1,0,0,1,20,-18,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
22005,2546,20500660,"JAN 31, 2006",DEN @ SAC,L,31,10,17,0.588,1,2,0.5,3,4,0.75,1,2,3,2,1,0,3,3,24,8,0,2546,Carmelo Anthony,Regular Season,DEN,1610612743
