SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season_type,TEAM_ABBREVIATION,TEAM_ID
22002,951,20200779,"FEB 19, 2003",MIL @ LAC,L,41,7,14,0.5,3,6,0.5,2,2,1.0,1,5,6,9,1,0,4,4,19,-6,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200768,"FEB 18, 2003",MIL @ SAC,L,40,6,15,0.4,2,7,0.286,3,3,1.0,1,3,4,3,1,0,1,2,17,-10,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200750,"FEB 16, 2003",MIL vs. MEM,L,36,9,18,0.5,1,9,0.111,4,5,0.8,0,5,5,2,2,0,2,3,23,3,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200738,"FEB 14, 2003",MIL vs. DET,W,35,4,14,0.286,2,5,0.4,4,4,1.0,0,2,2,5,1,1,3,5,14,2,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200726,"FEB 12, 2003",MIL vs. DAL,W,42,10,23,0.435,5,12,0.417,3,3,1.0,3,6,9,7,0,0,3,2,28,10,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200706,"FEB 06, 2003",MIL vs. SEA,W,29,9,18,0.5,5,8,0.625,4,6,0.667,0,3,3,2,0,0,2,3,27,6,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200693,"FEB 04, 2003",MIL vs. TOR,L,35,9,17,0.529,3,7,0.429,0,0,0.0,1,5,6,3,1,0,2,3,21,0,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200672,"FEB 01, 2003",MIL vs. NYK,W,31,4,15,0.267,1,5,0.2,3,3,1.0,2,6,8,0,0,0,0,4,12,12,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200654,"JAN 30, 2003",MIL vs. WAS,W,37,6,17,0.353,2,6,0.333,2,2,1.0,1,3,4,4,0,0,2,4,16,13,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200639,"JAN 28, 2003",MIL vs. PHI,L,32,7,13,0.538,2,7,0.286,2,2,1.0,0,0,0,4,0,0,3,3,18,-22,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200635,"JAN 27, 2003",MIL @ NOH,W,39,7,17,0.412,2,6,0.333,6,6,1.0,4,4,8,6,1,0,3,2,22,20,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200621,"JAN 25, 2003",MIL vs. DEN,W,39,6,15,0.4,1,5,0.2,8,10,0.8,1,5,6,4,3,1,1,0,21,2,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200591,"JAN 22, 2003",MIL @ BOS,W,40,13,23,0.565,5,9,0.556,3,3,1.0,2,7,9,7,2,1,4,2,34,16,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200570,"JAN 18, 2003",MIL vs. BOS,L,36,4,14,0.286,3,8,0.375,2,2,1.0,2,3,5,2,1,0,2,4,13,-4,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200555,"JAN 17, 2003",MIL @ PHI,W,32,5,18,0.278,0,5,0.0,11,11,1.0,2,4,6,1,0,0,3,3,21,-1,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200544,"JAN 15, 2003",MIL @ TOR,W,36,5,12,0.417,3,4,0.75,2,3,0.667,0,4,4,1,0,0,3,2,15,4,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200540,"JAN 14, 2003",MIL vs. ATL,W,32,6,13,0.462,3,5,0.6,6,6,1.0,1,2,3,1,1,0,1,2,21,11,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200521,"JAN 11, 2003",MIL @ DET,W,39,10,22,0.455,2,6,0.333,6,7,0.857,1,6,7,6,1,0,5,4,28,-2,0,951,Ray Allen,Regular Season,MIL,1610612749
22002,951,20200512,"JAN 10, 2003",MIL vs. CHI,W,43,4,13,0.308,0,4,0.0,3,3,1.0,0,6,6,4,2,0,6,3,11,8,0,951,Ray Allen,Regular Season,MIL,1610612749
